year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,1,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",748.00,137.00,35.79,1.92,17.34,0.00,81.95,26.00,0.00,7869.00,1692.00,813.00,786.00,0.00,4578.00
2023,1,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",253.00,45.00,25.49,0.00,5.01,0.00,14.50,1.00,0.00,2201.00,942.00,0.00,147.00,0.00,1112.00
2023,1,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",205.00,31.00,11.58,1.80,2.26,0.00,15.36,10.00,0.00,1647.00,492.00,45.00,76.00,0.00,1034.00
2023,1,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2758.00,501.00,167.41,3.80,111.34,0.82,217.62,44.00,2.00,34058.00,10583.00,435.00,6686.00,55.00,16299.00
2023,1,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",2984.00,540.00,177.34,5.92,129.94,1.99,224.82,147.00,0.00,29994.00,9475.00,383.00,4653.00,47.00,15436.00
2023,1,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",315.00,68.00,29.21,0.00,11.76,0.00,27.04,5.00,0.00,3897.00,1158.00,0.00,425.00,0.00,2314.00
2023,1,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",287.00,66.00,23.31,1.08,14.72,0.00,26.89,6.00,3.00,3114.00,807.00,118.00,522.00,0.00,1667.00
2023,1,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",89.00,28.00,8.37,0.00,3.69,0.00,15.94,1.00,0.00,1394.00,327.00,0.00,90.00,0.00,977.00
2023,1,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",3789.00,609.00,216.81,6.65,88.93,2.86,293.74,114.00,1.00,37097.00,14372.00,489.00,3621.00,75.00,18540.00
2023,1,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",346.00,71.00,22.22,0.08,7.62,0.00,41.08,8.00,0.00,3978.00,968.00,8.00,289.00,0.00,2713.00
2023,1,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",420.00,100.00,37.22,0.53,19.45,0.00,42.80,11.00,0.00,5129.00,1797.00,8.00,724.00,0.00,2600.00
2023,1,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",324.00,73.00,32.81,0.00,10.19,0.00,29.99,5.00,0.00,4359.00,1419.00,0.00,307.00,0.00,2633.00
2023,1,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1728.00,361.00,106.29,6.50,63.35,0.00,184.86,73.00,14.00,19515.00,5031.00,473.00,2322.00,0.00,11689.00
2023,1,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5489.00,858.00,278.48,5.21,169.56,3.61,401.14,97.00,5.00,57430.00,21367.00,640.00,6975.00,122.00,28326.00
2023,1,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",170.00,45.00,23.94,1.20,6.55,0.00,13.32,4.00,2.00,2562.00,981.00,45.00,337.00,0.00,1199.00
2023,1,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",222.00,52.00,19.69,0.00,8.71,0.00,23.60,4.00,0.00,2717.00,807.00,0.00,443.00,0.00,1467.00
2023,1,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",394.00,85.00,33.66,0.61,12.55,0.00,38.18,11.00,0.00,4327.00,1112.00,46.00,441.00,0.00,2728.00
2023,1,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",240.00,53.00,14.08,0.05,12.08,0.00,26.79,4.00,0.00,2657.00,609.00,8.00,331.00,0.00,1709.00
2023,1,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",896.00,184.00,68.09,1.72,25.89,1.00,87.29,24.00,0.00,10684.00,3304.00,202.00,1258.00,27.00,5893.00
2023,1,WN,Southwest Airlines Co.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",404.00,77.00,25.97,1.64,9.05,0.00,40.35,14.00,0.00,4384.00,1070.00,209.00,483.00,0.00,2622.00
2023,1,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",112.00,14.00,4.22,0.00,2.40,0.48,6.90,2.00,1.00,786.00,200.00,0.00,54.00,23.00,509.00
2023,1,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",205.00,35.00,17.15,0.87,6.03,1.00,9.95,6.00,0.00,1445.00,426.00,103.00,225.00,25.00,666.00
2023,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5821.00,931.00,321.11,9.49,173.19,3.31,423.90,335.00,12.00,57579.00,19645.00,593.00,8245.00,108.00,28988.00
2023,1,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1335.00,206.00,62.50,2.49,39.13,0.07,101.80,34.00,1.00,12295.00,3678.00,209.00,1251.00,11.00,7146.00
2023,1,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",7264.00,1349.00,359.07,25.76,338.76,1.54,623.87,378.00,15.00,80529.00,20889.00,2074.00,14905.00,78.00,42583.00
2023,1,WN,Southwest Airlines Co.,DSM,"Des Moines, IA: Des Moines International",120.00,30.00,8.92,0.46,5.15,0.56,14.92,0.00,0.00,1902.00,393.00,54.00,328.00,14.00,1113.00
2023,1,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",306.00,73.00,36.88,0.21,8.85,0.00,27.06,10.00,0.00,3643.00,1434.00,27.00,497.00,0.00,1685.00
2023,1,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",101.00,14.00,2.47,0.00,6.05,0.00,5.48,3.00,0.00,588.00,80.00,0.00,177.00,0.00,331.00
2023,1,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",714.00,126.00,41.35,1.04,11.69,0.00,71.91,27.00,0.00,6383.00,1904.00,20.00,375.00,0.00,4084.00
2023,1,WN,Southwest Airlines Co.,EUG,"Eugene, OR: Mahlon Sweet Field",116.00,27.00,7.25,0.00,3.83,0.00,15.93,1.00,0.00,1098.00,275.00,0.00,137.00,0.00,686.00
2023,1,WN,Southwest Airlines Co.,FAT,"Fresno, CA: Fresno Yosemite International",116.00,32.00,9.04,0.00,2.95,0.00,20.01,1.00,0.00,2244.00,490.00,0.00,147.00,0.00,1607.00
